project_id,notice_type,notice_no,country,year_awarded,data_source,procurement_channel,funding_source,sector,project_type,contract_value_usd,contract_currency,contract_amount,contract_duration_original_unit,contract_duration_original,contract_duration_days,winning_firm_name,winning_firm_code,winning_firm_country,winning_firm_is_chinese,winning_firm_is_soe,number_of_bidders,if_single_bidder,bidder_country_lowest_price,bidder_lowest_price,bidder_country,bidder_price_currency,bidder_price,procurement_method,financing_linked_to_bid,financing_source_chinese,joint_venture,firm_registered_locally,record_id,awarded_date,bid_reference_no,project_name,contract_url
P117157,Contract Award,OP00028410,El Salvador,2014,World Bank,MDB-financed,,Health; Health,,,USD,,,,,,,,,,,,,,,,,,,,,,OP00028410,,,STRENGTHENING PUBLIC HEALTH CARE SYSTEM,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00028410
P105680,Contract Award,OP00028248,Argentina,2014,World Bank,MDB-financed,,"Sanitation; Public Administration - Water, Sanitation and Waste Management; Other Water Supply, Sanitation and Waste Management; Water Supply; Other Transportation; Other Public Administration; Other Water Supply, Sanitation and Waste Management; Central Government (Central Agencies)",,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00028248,,DI-LPI 0001/12,Matanza-Riachuelo Basin Sustainable Development Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00028248
P112073,Contract Award,OP00028111,Brazil,2014,World Bank,MDB-financed,,"Water Supply; Sanitation; Waste Management; Public Administration - Water, Sanitation and Waste Management; Irrigation and Drainage; Water Supply; Sanitation; Waste Management; Public Administration - Water, Sanitation and Waste Management; Irrigation and Drainage",,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00028111,,6,BR Federal Integrated Water - Interaguas,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00028111
P106619,Contract Award,OP00028086,Dominican Republic,2014,World Bank,MDB-financed,,Public Administration - Health; Health; Health; Social Protection,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00028086,,B-LPI-01-2013/PARSS2,Health Sector Reform Second Phase APL (PARSS 2),https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00028086
P112780,Contract Award,OP00028006,Jamaica,2014,World Bank,MDB-financed,,Public Administration - Energy and Extractives; Other Energy and Extractives; Banking Institutions; Public Administration - Energy and Extractives; Other Energy and Extractives; Banking Institutions,,,USD,,,,,,,,,,,,,,,,,Quality And Cost-Based Selection,,,,,OP00028006,,CS/2014/02,Jamaica Energy Security and Efficiency Enhancement Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00028006
P126537,Contract Award,OP00027753,Brazil,2014,World Bank,MDB-financed,,Public Administration - Energy and Extractives; Public Administration - Energy and Extractives,,,USD,,Year,2.3,839.0,,,,,,,,,,,,,,,,,,OP00027753,,,Energy and Mineral Sector Strengthening,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00027753
P095235,Contract Award,OP00027717,Paraguay,2014,World Bank,MDB-financed,,"Other Water Supply, Sanitation and Waste Management; Sanitation; Public Administration - Water, Sanitation and Waste Management; Water Supply; Other Water Supply, Sanitation and Waste Management",,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00027717,,LPI Nro.1/2013,PY Water & Sanitation Sector Modernization,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00027717
P089989,Contract Award,OP00027581,Nicaragua,2014,World Bank,MDB-financed,,ICT Infrastructure; Sub-National Government; ICT Infrastructure; Postal services,,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00027581,,UCP-TELCOR-LIL-001-2014,Nicaragua Rural Telecom,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00027581
P127925,Contract Award,OP00027257,Brazil,2014,World Bank,MDB-financed,,Ports/Waterways; Ports/Waterways,,,USD,,,,,,,,,,,,,,,,,Fixed Budget Selection,,,1.0,,OP00027257,,SEP/PR Nº 03/2014,BR Fostering Short Sea Shipping,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00027257
P121152,Contract Award,OP00027005,Nicaragua,2014,World Bank,MDB-financed,,"Central Government (Central Agencies); Public Administration - Agriculture, Fishing & Forestry; Sub-National Government; Central Government (Central Agencies); Sub-National Government; Other Agriculture, Fishing and Forestry",,,USD,,,,,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00027005,,PRODEPII-187-LPI_B,Second Land Administration Project (PRODEP II),https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00027005
P106623,Contract Award,OP00026945,Barbados,2014,World Bank,MDB-financed,,Public Administration - Health; Health; Health,,,USD,,Month,12.0,365.0,,,,,,,,,,,,,International Competitive Bidding,,,,,OP00026945,,IFB NO:  BB001,Barbados Second HIV/AIDS Project,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00026945
